database_slug,source_person_id,canonical_name,reference_url,match_basis
cm0001_vanilla_original,9804,Ali Mumcu,https://www.wikidata.org/wiki/Q4725062,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,9807,Ali Ravcı,https://www.wikidata.org/wiki/Q110538000,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,9811,Ali Tandoğan,https://www.wikidata.org/wiki/Q1378286,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,12225,Akın Sağlam,https://www.wikidata.org/wiki/Q134378667,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,12226,Akın Vardar,https://www.wikidata.org/wiki/Q424750,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16079,İsa Turan,https://www.wikidata.org/wiki/Q6095914,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16617,Attila Şekerlioğlu,https://www.wikidata.org/wiki/Q10380495,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16627,Ümit Erbay,https://www.wikidata.org/wiki/Q102078593,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16630,Ümit İnal,https://www.wikidata.org/wiki/Q14859023,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16631,Ümit Aydın,https://www.wikidata.org/wiki/Q4831526,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16637,Ümit Bozkurt,https://www.wikidata.org/wiki/Q8079469,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16643,Umut Hatipoğlu,https://www.wikidata.org/wiki/Q2506954,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16648,Ümit Özışık,https://www.wikidata.org/wiki/Q115631624,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16651,Ümit Teke,https://www.wikidata.org/wiki/Q6082892,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16655,Volkan Kahraman,https://www.wikidata.org/wiki/Q871938,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16663,Volkan Demirel,https://www.wikidata.org/wiki/Q209992,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,16670,Volkan Kilimci,https://www.wikidata.org/wiki/Q1674177,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18020,Hakan Bayraktar,https://www.wikidata.org/wiki/Q134422407,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18026,Hakan Akbulut,https://www.wikidata.org/wiki/Q139595197,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18029,Hakan Biçici,https://www.wikidata.org/wiki/Q137441153,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18031,Hakan Çalışkan,https://www.wikidata.org/wiki/Q6100343,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18038,Hakan Dolutaş,https://www.wikidata.org/wiki/Q6095292,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18056,Hakan Kaygusuz,https://www.wikidata.org/wiki/Q23920541,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18057,Hakan Keleş,https://www.wikidata.org/wiki/Q6077849,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18060,Hakan Kutlu,https://www.wikidata.org/wiki/Q1569830,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18068,Hakan Saral,https://www.wikidata.org/wiki/Q134394829,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18072,Hakan Şükür,https://www.wikidata.org/wiki/Q192974,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,18260,Yasin Karaca,https://www.wikidata.org/wiki/Q2003441,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,19413,Önder Turacı,https://www.wikidata.org/wiki/Q297604,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,19435,Uğur Yasan,https://www.wikidata.org/wiki/Q135441382,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,20006,Mahmut Yılmaz,https://www.wikidata.org/wiki/Q1573871,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,20026,Yılmaz Özen,https://www.wikidata.org/wiki/Q16858162,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,20027,Yılmaz Özlem,https://www.wikidata.org/wiki/Q1717999,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,21836,Serdar Kulbilge,https://www.wikidata.org/wiki/Q2000793,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,21837,Serdar Meriç,https://www.wikidata.org/wiki/Q99673271,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,21841,Serdar Samatyalı,https://www.wikidata.org/wiki/Q6103526,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,23220,Doğan Baykuş,https://www.wikidata.org/wiki/Q125072307,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,24678,Metin Kurt,https://www.wikidata.org/wiki/Q6083827,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,24684,Metin Akçevre,https://www.wikidata.org/wiki/Q12810845,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,24703,Metin Uzun,https://www.wikidata.org/wiki/Q61725010,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,24948,Yusuf Öztürk,https://www.wikidata.org/wiki/Q8062001,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,25693,Ahmet Arslaner,https://www.wikidata.org/wiki/Q100325119,unique accent/order-insensitive token match; DOB distance 0 day(s)
