database_slug,source_person_id,search_text,notes
cm0102_vanilla_original,4787,Pierre Achil Webo Pierre Achille Webó,Accentless surname and later full-name variant
cm0203_vanilla_original,147661,Pierre Achil Webo Pierre Achille Webó,Accentless surname and later full-name variant
cm0304_vanilla_original,188349,Pierre Achil Webo Pierre Achille Webó,Accentless surname and earlier full-name variant
cm0001_vanilla_original,77058,Arslan Kemal Kemal Arslan,Common mistaken surname spelling; canonical identity is Kemal Aslan
cm0102_vanilla_original,118511,Arslan Kemal Kemal Arslan,Common mistaken surname spelling; canonical identity is Kemal Aslan
cm0203_vanilla_original,44003,Arslan Kemal Kemal Arslan,Common mistaken surname spelling; canonical identity is Kemal Aslan
cm0304_vanilla_original,45165,Arslan Kemal Kemal Arslan,Common mistaken surname spelling; canonical identity is Kemal Aslan
